@relation wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P80.0

@attribute fixedacid numeric
@attribute volacid numeric
@attribute citricacid numeric
@attribute residualsugar numeric
@attribute chlorides numeric
@attribute freesulfur numeric
@attribute totalsulfur numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
6.7,0.105,0.32,12.4,0.051,34,106,0.998,3.54,0.45,9.2,6
6.1,0.2,0.17,1.6,0.048,46,129,0.991,3.3,0.43,11.4,6
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5
7.5,0.26,0.26,18.35,0.084,33,139,1.0011,3.17,0.39,8.8,5
6.6,0.39,0.22,4,0.038,17,98,0.99018,3.25,0.53,13,7
7.5,0.42,0.19,6.9,0.041,62,150,0.99508,3.23,0.37,10,6
7.7,0.3,0.23,2,0.068,28,138,0.99382,3.11,0.62,9.8,5
7.9,0.22,0.38,8,0.043,46,152,0.9934,3.12,0.32,11.5,7
6.4,0.24,0.28,11.5,0.05,34,163,0.9969,3.31,0.45,9.5,5
6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5
6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,7
6.8,0.21,0.74,1.2,0.047,25,111,0.9916,3.13,0.41,10.7,6
5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8
6.6,0.38,0.18,1.2,0.042,20,84,0.9927,3.22,0.45,10.1,4
5.6,0.21,0.24,4.4,0.027,37,150,0.991,3.3,0.31,11.5,7
6.7,0.26,0.39,6.4,0.171,64,200,0.99562,3.19,0.38,9.4,6
6.7,0.25,0.13,1.2,0.041,81,174,0.992,3.14,0.42,9.8,5
7,0.24,0.36,2.8,0.034,22,112,0.99,3.19,0.38,12.6,8
5.7,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,5
9,0.2,0.33,3.5,0.049,10,40,0.9944,3.14,0.36,9.8,6
7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3,7
7.1,0.31,0.5,14.5,0.059,6,148,0.9983,2.94,0.44,9.1,5
7.3,0.22,0.41,15.4,0.05,55,191,1,3.32,0.59,8.9,6
5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11,7
7.4,0.18,0.3,10.4,0.045,44,174,0.9966,3.11,0.57,9.7,6
7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,6
7,0.28,0.32,1.7,0.038,27,128,0.99375,3.2,0.62,10.2,6
9,0.2,0.33,3.5,0.049,10,40,0.9944,3.14,0.36,9.8,6
6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5
7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6
6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,5
6.6,0.18,0.26,17.3,0.051,17,149,0.9984,3,0.43,9.4,6
6.4,0.16,0.22,1.4,0.04,41,149,0.9933,3.49,0.58,10,6
6.2,0.12,0.26,5.7,0.044,56,158,0.9951,3.52,0.37,10.5,6
7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,8
6.1,0.37,0.36,4.7,0.035,36,116,0.991,3.31,0.62,12.6,6
6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5
6.6,0.41,0.16,1.4,0.037,28,160,0.99167,2.95,0.45,10.6,6
6.8,0.3,0.35,2.8,0.038,10,164,0.9912,3.09,0.53,12,6
6.8,0.26,0.29,16.95,0.056,48,179,0.9998,3.45,0.4,9.6,5
7.1,0.23,0.28,1.9,0.046,33,103,0.98997,3.12,0.31,12,5
6.5,0.32,0.12,11.5,0.033,35,165,0.9974,3.22,0.32,9,5
8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,7
6.7,0.22,0.39,1.2,0.049,26,152,0.99346,3.5,0.47,10,6
6.2,0.31,0.23,3.3,0.052,34,113,0.99429,3.16,0.48,8.4,5
7.2,0.3,0.3,8.7,0.022,14,111,0.99576,3.11,0.61,10.6,5
7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9,5
6.9,0.28,0.31,7.2,0.04,47,168,0.9946,3.29,0.57,10.6,7
6.9,0.31,0.32,1.6,0.036,34,114,0.99068,3.19,0.45,11.4,7
7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12,6
6.2,0.35,0.04,1.2,0.06,23,108,0.9934,3.26,0.54,9.2,5
6.7,0.31,0.18,7.7,0.043,57,200,0.99566,3.17,0.44,9.4,6
6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,5
6,0.27,0.3,14.7,0.044,15,144,0.99666,3.12,0.53,10.3,6
6,0.24,0.41,1.3,0.036,42,118,0.99018,3.04,0.64,11.75,6
6.2,0.53,0.02,0.9,0.035,6,81,0.99234,3.24,0.35,9.5,4
6.3,0.23,0.21,5.1,0.035,29,142,0.9942,3.36,0.33,10.1,7
6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5
5.3,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,7
7,0.25,0.56,2,0.035,20,95,0.9918,3.23,0.53,11,6
5.7,0.21,0.32,1.6,0.03,33,122,0.99044,3.33,0.52,11.9,6
6.3,0.27,0.37,7.9,0.047,58,215,0.99542,3.19,0.48,9.5,6
6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2,5
6.5,0.46,0.41,16.8,0.084,59,222,0.9993,3.18,0.58,9,5
6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,5
6.7,0.25,0.36,8.6,0.037,63,206,0.99553,3.18,0.5,9.6,5
7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,6
6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1,5
6.6,0.32,0.26,4.6,0.031,26,120,0.99198,3.4,0.73,12.5,7
7.1,0.27,0.24,12.6,0.044,48,118,0.99726,3.04,0.56,10,7
5.8,0.18,0.37,1.1,0.036,31,96,0.98942,3.16,0.48,12,6
8.1,0.28,0.39,1.9,0.029,18,79,0.9923,3.23,0.52,11.8,6
5.7,0.33,0.32,1.4,0.043,28,93,0.9897,3.31,0.5,12.3,6
7.1,0.44,0.23,5.8,0.035,24,100,0.99062,3.15,0.57,13.2,7
6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,5
5.7,0.39,0.25,4.9,0.033,49,113,0.98966,3.26,0.58,13.1,7
7.3,0.24,0.41,13.6,0.05,41,178,0.9988,3.37,0.43,9.7,5
8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,5
7.1,0.2,0.31,6.85,0.053,32,211,0.99587,3.31,0.59,10.4,6
7.6,0.15,0.4,1.3,0.036,24,112,0.9932,3.14,0.76,10,5
6.4,0.28,0.22,12.8,0.039,51,150,0.99535,3.23,0.43,10.7,6
7.6,0.38,0.2,3.4,0.046,9,116,0.9944,3.15,0.41,9.4,5
7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6
6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11,6
6,0.32,0.12,5.9,0.041,34,190,0.9944,3.16,0.72,10,5
5.6,0.35,0.4,6.3,0.022,23,174,0.9922,3.54,0.5,11.6,7
6.6,0.22,0.29,14.4,0.046,39,118,0.99834,3.05,0.5,9.1,6
7.1,0.2,0.31,7.4,0.053,32,211,0.99587,3.31,0.59,10.4,6
7.9,0.26,0.41,15.15,0.04,38,216,0.9976,2.96,0.6,10,6
6.8,0.28,0.36,7,0.043,60,207,0.99556,3.16,0.49,9.6,6
5.8,0.58,0,1.5,0.02,33,96,0.98918,3.29,0.38,12.4,6
5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8,5
7.4,0.25,0.29,6.8,0.02,31,113,0.99338,3.13,0.29,10.8,6
6.4,0.3,0.27,4.4,0.055,17,135,0.9925,3.23,0.44,12.2,6
6.7,0.15,0.29,5,0.058,28,105,0.9946,3.52,0.44,10.2,7
6.8,0.43,0.3,3.5,0.033,27,135,0.9906,3,0.37,12,6
5.9,0.34,0.31,2,0.03,38,142,0.98892,3.4,0.41,12.9,7
6.9,0.2,0.4,7.7,0.032,51,176,0.9939,3.22,0.27,11.4,5
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5
7.6,0.3,0.22,10.2,0.049,57,191,0.9966,3.08,0.4,9.3,6
6.5,0.2,0.5,18.1,0.054,50,221,0.99941,2.94,0.64,8.8,6
7.3,0.37,0.16,14.9,0.048,59,240,0.99902,3.13,0.45,8.9,5
6.5,0.25,0.35,12,0.055,47,179,0.998,3.58,0.47,10,5
6.8,0.16,0.18,1.8,0.046,31,114,0.99226,3.27,0.55,10.8,6
6.6,0.22,0.37,1.6,0.04,31,101,0.99009,3.15,0.66,12,5
7.2,0.32,0.4,8.7,0.038,45,154,0.99568,3.2,0.47,10.4,6
4.8,0.21,0.21,10.2,0.037,17,112,0.99324,3.66,0.48,12.2,7
8.9,0.3,0.35,4.6,0.032,32,148,0.99458,3.15,0.45,11.5,7
6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,5
7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5
6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,6
6,0.36,0.32,1.1,0.053,26,173,0.99414,3.38,0.54,8.8,5
6.8,0.16,0.36,1.3,0.034,32,98,0.99058,3.02,0.58,11.3,6
5.5,0.21,0.25,1.2,0.04,18,75,0.99006,3.31,0.56,11.3,6
7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,7
7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1,4
6.6,0.22,0.53,15.1,0.052,22,136,0.9986,2.94,0.35,9.4,5
6.3,0.17,0.42,2.8,0.028,45,107,0.9908,3.27,0.43,11.8,6
6.4,0.29,0.24,3.2,0.037,31,95,0.98942,2.9,0.66,12.6,7
6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6
7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9,5
6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5,6
6.3,0.38,0.17,8.8,0.08,50,212,0.99803,3.47,0.66,9.4,4
5.9,0.19,0.26,7.4,0.034,33,123,0.995,3.49,0.42,10.1,6
6.5,0.44,0.47,5.45,0.014,44,137,0.98984,3.13,0.32,13,8
8.1,0.26,0.27,4.3,0.03,43,123,0.99212,3.16,0.33,11.2,6
7.6,0.39,0.22,2.8,0.036,19,113,0.9926,3.03,0.29,10.2,5
6.6,0.26,0.21,2.9,0.026,48,126,0.99089,3.22,0.38,11.3,7
6,0.26,0.32,3.5,0.028,29,113,0.9912,3.4,0.71,12.3,7
6.7,0.35,0.32,9,0.032,29,113,0.99188,3.13,0.65,12.9,7
6.8,0.19,0.33,4.9,0.047,42,130,0.99283,3.12,0.56,11,6
7.3,0.26,0.3,9.3,0.05,35,154,0.99581,3.21,0.5,10.4,6
7.4,0.26,0.29,3.7,0.048,14,73,0.9915,3.06,0.45,11.4,6
8,0.18,0.49,1.8,0.061,10,145,0.9942,3.23,0.48,10,5
7,0.34,0.39,6.9,0.066,43,162,0.99561,3.11,0.53,9.5,5
7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7
8,0.23,0.41,1.1,0.048,35,150,0.99168,3.09,0.47,11.2,5
8.9,0.3,0.35,4.6,0.032,32,148,0.99458,3.15,0.45,11.5,7
5.7,0.24,0.3,1.3,0.03,25,98,0.98968,3.37,0.43,12.4,7
7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,6
7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5
7.8,0.42,0.23,8.8,0.054,42,215,0.9971,3.02,0.58,9.2,6
6.8,0.27,0.49,1.2,0.044,35,126,0.99,3.13,0.48,12.1,7
7.4,0.34,0.42,1.1,0.033,17,171,0.9917,3.12,0.53,11.3,6
5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,5
6.7,0.31,0.08,1.3,0.038,58,147,0.9922,3.18,0.46,10,5
7.2,0.3,0.26,1.5,0.041,46,178,0.99154,3.19,0.56,11.3,6
6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,5
6.8,0.37,0.67,1.5,0.175,16,98,0.99244,3.06,0.56,10.3,6
6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,4
8.1,0.26,0.37,1.9,0.072,48,159,0.9949,3.37,0.7,10.9,6
7,0.31,0.31,9.1,0.036,45,140,0.99216,2.98,0.31,12,7
6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6
6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5
7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,6
6.4,0.22,0.32,12,0.066,57,158,0.9992,3.6,0.43,9,6
6.5,0.27,0.4,10,0.039,74,227,0.99582,3.18,0.5,9.4,5
6.8,0.64,0.08,9.7,0.062,26,142,0.9972,3.37,0.46,8.9,4
8.2,0.345,1,18.2,0.047,55,205,0.99965,2.96,0.43,9.6,5
6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2,5
8.1,0.25,0.34,10.1,0.05,30,121,0.99724,3.17,0.49,10.1,6
6,0.495,0.27,5,0.157,17,129,0.99396,3.03,0.36,9.3,5
6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,5
8,0.24,0.36,1.5,0.047,17,129,0.9948,3.2,0.54,10,6
6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,7
8.2,0.52,0.34,1.2,0.042,18,167,0.99366,3.24,0.39,10.6,5
8,0.55,0.17,8.2,0.04,13,60,0.9956,3.09,0.3,9.5,4
6,0.28,0.34,1.6,0.119,33,104,0.9921,3.19,0.38,10.2,6
7.8,0.17,0.23,1.7,0.029,39,128,0.99272,3.37,0.41,10.7,7
7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,5
8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,7
7.5,0.24,0.29,1.1,0.046,34,84,0.9902,3.04,0.39,11.45,6
6.6,0.25,0.34,3,0.054,22,141,0.99338,3.26,0.47,10.4,6
6.6,0.18,0.28,1.7,0.041,53,161,0.99207,3.13,0.45,10.2,6
7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5
5.6,0.21,0.4,1.3,0.041,81,147,0.9901,3.22,0.95,11.6,8
6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3,6
6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12,7
6.8,0.26,0.22,4.8,0.041,110,198,0.99437,3.29,0.67,10.6,5
8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,5
6.4,0.22,0.32,7.9,0.029,34,124,0.9948,3.4,0.39,10.2,5
7.5,0.29,0.24,9.9,0.058,25,115,0.99567,3.15,0.46,10.9,5
6.4,0.27,0.19,1.9,0.085,21,196,0.99516,3.49,0.64,9.5,4
6.9,0.49,0.24,1.2,0.049,13,125,0.9932,3.17,0.51,9.4,5
7.5,0.24,0.49,9.4,0.048,50,149,0.9962,3.17,0.59,10.5,7
5.8,0.36,0.5,1,0.127,63,178,0.99212,3.1,0.45,9.7,5
7.4,0.25,0.37,6.9,0.02,14,93,0.9939,3,0.48,10.7,7
7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,7
8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,6
5.8,0.2,0.3,1.5,0.031,21,57,0.99115,3.44,0.55,11,6
6,0.36,0.39,3.2,0.027,20,125,0.991,3.38,0.39,11.3,7
6.7,0.23,0.17,1.3,0.061,14,100,0.9925,3.07,0.55,9.5,5
6.1,0.43,0.35,9.1,0.059,83,249,0.9971,3.37,0.5,8.5,5
7,0.3,0.32,6.4,0.034,28,97,0.9924,3.23,0.44,11.8,6
6.6,0.2,0.14,4.4,0.184,35,168,0.99396,2.93,0.45,9.4,6
7.5,0.26,0.59,11.8,0.046,58,164,0.99814,3.17,0.46,8.9,4
7.2,0.21,0.34,11.9,0.043,37,213,0.9962,3.09,0.5,9.6,6
10.3,0.17,0.47,1.4,0.037,5,33,0.9939,2.89,0.28,9.6,3
7.4,0.19,0.49,6.7,0.037,15,110,0.9938,3.2,0.38,11,7
6.7,0.13,0.29,5.3,0.051,31,122,0.9944,3.44,0.37,9.7,6
6.4,0.25,0.3,5.5,0.038,15,129,0.9948,3.14,0.49,9.6,6
6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4,5
6.8,0.18,0.24,9.8,0.058,64,188,0.9952,3.13,0.51,10.6,6
6.9,0.21,0.49,1.4,0.041,15,164,0.9927,3.25,0.63,11,5
5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
6.7,0.26,0.29,7.7,0.038,40,179,0.99479,3.23,0.56,10.4,6
7.4,0.22,0.28,9,0.046,22,121,0.99468,3.1,0.55,10.8,5
6.2,0.47,0.19,8.3,0.029,24,142,0.992,3.22,0.45,12.3,6
5.6,0.41,0.22,7.1,0.05,44,154,0.9931,3.3,0.4,10.5,5
6.7,0.27,0.69,1.2,0.176,36,106,0.99288,2.96,0.43,9.2,6
6.4,0.25,0.33,1.4,0.04,42,115,0.9906,3.19,0.48,11.3,7
5.1,0.42,0.01,1.5,0.017,25,102,0.9894,3.38,0.36,12.3,7
6,0.25,0.28,2.2,0.026,54,126,0.9898,3.43,0.65,12.9,8
6.5,0.23,0.33,13.8,0.042,25,139,0.99695,3.35,0.56,10.4,6
6.2,0.27,0.26,12.1,0.046,43,127,0.9951,3.16,0.37,10.8,6
7.1,0.13,0.38,1.8,0.046,14,114,0.9925,3.32,0.9,11.7,6
6.4,0.16,0.28,2.2,0.042,33,93,0.9914,3.31,0.43,11.1,6
7.7,0.26,0.34,6.4,0.05,36,163,0.9937,3.19,0.7,11.5,6
8.2,0.23,0.49,0.9,0.057,15,73,0.9928,3.07,0.38,10.4,6
6.4,0.3,0.27,5,0.058,27,151,0.99198,3.22,0.49,12.2,6
7.7,0.29,0.48,2.3,0.049,36,178,0.9931,3.17,0.64,10.6,6
6.5,0.23,0.38,1.3,0.032,29,112,0.99298,3.29,0.54,9.7,5
6.8,0.25,0.3,11.8,0.043,53,133,0.99524,3.03,0.58,10.4,6
6.5,0.32,0.34,5.7,0.044,27,91,0.99184,3.28,0.6,12,7
5.9,0.15,0.31,5.8,0.041,53,155,0.9945,3.52,0.46,10.5,6
6,0.27,0.4,1.7,0.021,18,82,0.9891,3.24,0.95,13.133333,6
7.4,0.17,0.4,5.5,0.037,34,161,0.9935,3.05,0.62,11.5,4
8.5,0.28,0.34,13.8,0.041,32,161,0.9981,3.13,0.4,9.9,6
6.1,0.34,0.29,2.2,0.036,25,100,0.98938,3.06,0.44,11.8,6
7.4,0.28,0.3,5.3,0.054,44,161,0.9941,3.12,0.48,10.3,6
7.6,0.36,0.49,11.3,0.046,87,221,0.9984,3.01,0.43,9.2,5
6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5
7.5,0.19,0.4,7.1,0.056,50,110,0.9954,3.06,0.52,9.9,6
7.1,0.2,0.27,9.6,0.037,19,105,0.99444,3.04,0.37,10.5,7
6.4,0.33,0.24,1.6,0.054,25,117,0.9943,3.36,0.5,9.3,5
7.1,0.17,0.38,7.4,0.052,49,182,0.9958,3.35,0.52,9.6,6
7.8,0.25,0.37,1,0.043,10,80,0.99128,3.08,0.38,11.4,5
5.9,0.26,0.24,2.4,0.046,27,132,0.99234,3.63,0.73,11.3,5
7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,5
6.7,0.26,0.29,5.8,0.025,26,74,0.9929,3.28,0.53,11,6
6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,5
6.2,0.3,0.32,1.7,0.032,30,130,0.9911,3.28,0.41,11.2,7
6.1,0.32,0.25,1.7,0.034,37,136,0.992,3.47,0.5,10.8,7
7.3,0.4,0.26,5.45,0.016,26,90,0.98951,2.84,0.54,13.2,7
6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,6
14.2,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,6
7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,7
6.3,0.13,0.42,1.1,0.043,63,146,0.99066,3.13,0.72,11.2,7
6.7,0.61,0.21,1.65,0.117,40,240,0.9938,3.11,0.57,9.3,5
6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,7
7.1,0.14,0.4,1.2,0.051,55,136,0.9932,3.3,0.96,9.8,7
7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8,5
6.4,0.31,0.53,8.8,0.057,36,221,0.99642,3.17,0.44,9.1,5
7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,5
6.3,0.3,0.91,8.2,0.034,50,199,0.99394,3.39,0.49,11.7,6
5.8,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75,6
6.1,0.28,0.32,2.5,0.042,23,218.5,0.9935,3.27,0.6,9.8,5
8.4,0.17,0.31,5.4,0.052,47,150,0.9953,3.24,0.38,9.8,5
7.5,0.17,0.37,1.5,0.06,18,75,0.9936,3.54,0.88,10.7,5
7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,5
6.3,0.24,0.55,8.1,0.04,67,216,0.99596,3.24,0.5,9.2,5
6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,5
6,0.29,0.21,15.55,0.043,20,142,0.99658,3.11,0.54,10.1,6
8.3,0.23,0.43,3.2,0.035,14,101,0.9928,3.15,0.36,11.5,5
6.2,0.15,0.27,11,0.035,46,116,0.99602,3.12,0.38,9.1,6
6.8,0.19,0.32,7.6,0.049,37,107,0.99332,3.12,0.44,10.7,7
5.5,0.315,0.38,2.6,0.033,10,69,0.9909,3.12,0.59,10.8,6
6.4,0.17,0.34,1.5,0.091,42,135,0.9938,3.25,0.49,9.6,7
7.4,0.18,0.4,1.6,0.047,22,102,0.9937,3.28,0.44,10.7,5
9.7,0.14,0.59,1.5,0.049,23,142,0.9958,2.98,0.62,9.5,5
6.6,0.25,0.41,7.4,0.043,29,151,0.9946,3.15,0.6,10.2,7
7.8,0.29,0.33,8.75,0.035,33,181,0.9962,3.11,0.46,10.7,5
6.5,0.24,0.24,1.6,0.046,15,60,0.9928,3.19,0.39,9.8,5
6.8,0.31,0.32,7.6,0.052,35,143,0.9959,3.14,0.38,9,5
7,0.26,0.46,15.55,0.037,61,171,0.9986,2.94,0.35,8.8,6
6.3,0.2,0.37,11.8,0.045,58,130,0.99519,3.2,0.35,10.8,5
6.6,0.34,0.27,6.2,0.059,23,136,0.9957,3.3,0.49,10.1,6
7.3,0.34,0.3,1.3,0.057,25,173,0.9948,3.26,0.51,9.1,6
6.6,0.23,0.3,14.9,0.051,33,118,0.99835,3.04,0.54,9,6
6.3,0.4,0.32,10.6,0.049,38,209,0.9981,3.47,0.59,9.3,6
6.1,0.22,0.38,2.8,0.144,12,65,0.9908,2.95,0.64,11.4,6
6.2,0.36,0.45,10.4,0.06,22,184,0.99711,3.31,0.56,9.8,6
6.1,0.16,0.34,6.1,0.034,31,114,0.99365,3.32,0.58,10.15,7
6.6,0.29,0.73,2.2,0.027,21,92,0.99,3.12,0.48,12.4,6
6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,5
7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6
6.5,0.29,0.3,9.15,0.051,25,166,0.99339,3.24,0.56,11.35,6
6.4,0.17,0.27,9.9,0.047,26,101,0.99596,3.34,0.5,9.9,6
6,0.22,0.28,1.1,0.034,47,90,0.98862,3.22,0.38,12.6,6
6,0.35,0.46,0.9,0.033,9,65,0.98934,3.24,0.35,12.1,4
7.6,0.21,0.6,2.1,0.046,47,165,0.9936,3.05,0.54,10.1,7
7,0.28,0.32,7.75,0.032,30,114,0.99158,3.12,0.64,12.8,7
6.1,0.41,0.2,12.6,0.032,54,136,0.99516,2.91,0.43,10.6,6
5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6
6.5,0.18,0.33,8,0.051,16,131,0.9965,3.28,0.44,8.7,7
6.7,0.24,0.41,2.9,0.039,48,122,0.99052,3.25,0.43,12,5
6,0.28,0.25,1.8,0.042,8,108,0.9929,3.08,0.55,9,5
7.2,0.24,0.24,1.7,0.045,18,161,0.99196,3.25,0.53,11.2,6
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,5
7,0.46,0.2,16.7,0.046,50,184,0.99898,3.08,0.56,9.4,5
6.7,0.42,0.46,9.7,0.054,67,234,0.99848,3.23,0.5,9,5
6.1,0.22,0.4,1.85,0.031,25,111,0.98966,3.03,0.3,11.8,7
8.3,0.17,0.31,1.5,0.049,48,153,0.9942,3.12,0.58,9.4,6
6.7,0.23,0.42,11.2,0.047,52,171,0.99758,3.54,0.74,10.4,5
6.5,0.29,0.53,1.7,0.04,41,192,0.9922,3.26,0.59,10.4,7
6.7,0.24,0.41,9.4,0.04,49,166,0.9954,3.12,0.61,9.9,6
5.6,0.2,0.66,10.2,0.043,78,175,0.9945,2.98,0.43,10.4,7
6.6,0.19,0.28,1.1,0.044,38,100,0.9904,3.22,0.69,11.2,6
7.1,0.32,0.4,1.5,0.034,13,84,0.9944,3.42,0.6,10.4,5
5.8,0.27,0.27,12.3,0.045,55,170,0.9972,3.28,0.42,9.3,6
7.6,0.19,0.37,13.1,0.033,52,151,0.99726,3.18,0.79,10.4,6
6.8,0.22,0.24,4.9,0.092,30,123,0.9951,3.03,0.46,8.6,6
9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5
6.1,0.3,0.56,2.7,0.046,46,184,0.9924,3.31,0.57,10.9,6
7.6,0.2,0.26,4.5,0.086,37,133,0.9963,3.15,0.42,9.2,5
6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6,5
6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,4
5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8
9.2,0.71,0.23,6.2,0.042,15,93,0.9948,2.89,0.34,10.1,6
8.3,0.3,0.36,10,0.042,33,169,0.9982,3.23,0.51,9.3,6
6.3,0.37,0.28,6.3,0.034,45,152,0.9921,3.29,0.46,11.6,7
6.5,0.22,0.29,7.4,0.028,16,87,0.99311,3.15,0.56,10.9,7
7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,5
4.7,0.67,0.09,1,0.02,5,9,0.98722,3.3,0.34,13.6,5
